ID,genero,idade,etnia,formacao,estado,tempo_de_casa,departamento,senioridade
00C1,Masculino,25,Pardo,Ensino Superior,PR,,Desenvolvimento de Produtos,Analista Senior
6654,Masculino,29,Pardo,Ensino Superior,BA,9,TI,Analista Junior
6DEB,Masculino,21,Pardo,Mestrado,ES,6,TI,Analista Junior
C50A,Masculino,27,Pardo,Pos graduacao,SP,5,Operacoes,Analista Junior
8DF5,Masculino,31,Pardo,Ensino Superior,RS,5,Vendas,Analista Junior
E045,Feminino,22,Pardo,Pos graduacao,RR,8,Marketing,Analista Pleno
AC13,Masculino,29,Pardo,Ensino Superior,MA,4,Vendas,Analista Junior
BED4,Masculino,32,Pardo,Doutorado,PB,9,Vendas,Analista Pleno
B811,Masculino,24,Pardo,Ensino Superior,MA,3,Recursos Humanos,Analista Junior
7A02,Feminino,42,Branco,Ensino Superior,GO,2,Operacoes,Gerente
0EE1,Masculino,41,Branco,Ensino Superior,PA,3,Vendas,Analista Junior
4B8F,Masculino,18,Branco,Ensino Superior,AM,1,Operacoes,Analista Senior
EEDE,Masculino,39,Pardo,Ensino Superior,GO,8,Compras,Analista Junior
D12B,Masculino,36,Pardo,Doutorado,RO,8,Recursos Humanos,Gerente
5DAD,Masculino,21,Preto,Ensino Medio,AC,7,Compras,Analista Junior
0417,Masculino,24,Pardo,Ensino Medio,RR,9,Desenvolvimento de Produtos,Analista Junior
5458,Masculino,42,Pardo,Ensino Superior,MG,7,TI,Analista Pleno
0671,Masculino,36,Pardo,Mestrado,DF,9,Vendas,Analista Pleno
0C7F,Masculino,18,Pardo,Ensino Superior,PI,,Recursos Humanos,Analista Junior
C3B8,Feminino,28,Branco,Ensino Superior,AP,5,Contabilidade,Analista Junior
A273,Masculino,25,Branco,Ensino Superior,SP,5,Administrativo,Analista Senior
0FB4,Masculino,21,Pardo,Ensino Medio,PR,3,Operacoes,Analista Pleno
0D93,Feminino,22,Pardo,Ensino Superior,MS,4,Marketing,Analista Junior
11A8,Masculino,36,Branco,Mestrado,TO,6,Desenvolvimento de Produtos,Analista Junior
1C81,Feminino,47,Pardo,Ensino Superior,PI,0,TI,Analista Senior
5E9B,Feminino,34,Pardo,Ensino Superior,PB,6,Desenvolvimento de Produtos,Gerente
B7C6,Feminino,39,Pardo,Mestrado,SP,3,Administrativo,Analista Junior
2DF9,Feminino,31,Pardo,Ensino Superior,RS,,Compras,Gerente
E613,Masculino,29,Preto,Ensino Superior,CE,3,TI,Analista Senior
2786,Masculino,38,Branco,Ensino Medio,PI,3,Operacoes,Analista Senior
1041,Feminino,37,Pardo,Ensino Superior,BA,5,Contabilidade,Analista Junior
9DA6,Feminino,31,Branco,Mestrado,RO,2,Compras,Analista Pleno
077E,Masculino,32,Pardo,Doutorado,PI,4,Marketing,Gerente
7A44,Masculino,20,Pardo,Doutorado,SP,,Administrativo,Analista Senior
E54B,Masculino,33,Branco,Ensino Superior,RJ,14,Recursos Humanos,Gerente
338C,Feminino,32,Pardo,Ensino Superior,BA,6,Compras,Analista Senior
0E31,Masculino,41,Pardo,Ensino Superior,TO,6,Operacoes,Gerente
07F4,Feminino,18,Branco,Ensino Superior,RO,4,TI,Analista Pleno
F68B,Masculino,53,Branco,Ensino Superior,DF,7,TI,Analista Senior
08CB,Masculino,28,Branco,Ensino Superior,BA,12,TI,Gerente
1891,Masculino,39,Preto,Ensino Superior,RS,,Marketing,Analista Pleno
AFC2,Masculino,37,Pardo,Mestrado,RS,6,Contabilidade,Analista Junior
8821,Masculino,32,Pardo,Pos graduacao,AC,7,Contabilidade,Analista Senior
C27D,Masculino,34,Pardo,Ensino Superior,SC,7,Operacoes,Analista Junior
CD09,Masculino,26,Pardo,Doutorado,PE,5,Operacoes,Analista Pleno
E16F,Masculino,20,Branco,Ensino Superior,PB,,Marketing,Analista Pleno
825A,Feminino,27,Pardo,Ensino Superior,MS,6,Contabilidade,Gerente
0924,Masculino,32,Pardo,Ensino Superior,BA,9,TI,Gerente
D649,Masculino,34,Branco,Pos graduacao,PR,6,Compras,Analista Pleno
E3C9,Feminino,38,Pardo,Ensino Superior,MT,2,Contabilidade,Analista Junior
555B,Masculino,21,Pardo,Ensino Medio,PI,4,Vendas,Analista Junior
231D,Masculino,38,Pardo,Mestrado,AM,13,Operacoes,Analista Junior
8463,Feminino,35,Pardo,Mestrado,RJ,,Vendas,Analista Junior
97B4,Masculino,20,Branco,Ensino Superior,RS,5,Operacoes,Analista Junior
0498,Feminino,37,Pardo,Ensino Superior,BA,10,TI,Analista Pleno
B942,Masculino,19,Branco,Doutorado,MT,5,Compras,Analista Pleno
BDF0,Masculino,20,Branco,Ensino Superior,SC,6,Compras,Gerente
70DA,Masculino,33,Branco,Ensino Superior,MA,3,TI,Gerente
E851,Masculino,42,Branco,Ensino Superior,RO,8,Desenvolvimento de Produtos,Analista Junior
B78C,Masculino,24,Branco,Ensino Superior,SC,3,Marketing,Analista Pleno
1934,Masculino,38,Branco,Ensino Superior,RN,12,Compras,Analista Junior
E851,Masculino,30,Branco,Ensino Superior,MT,2,Operacoes,Estagiario
6CFC,Feminino,20,Pardo,Pos graduacao,RJ,6,Contabilidade,Analista Senior
9C65,Feminino,19,Branco,Ensino Superior,GO,5,Administrativo,Analista Senior
C27D,Masculino,28,Indigena,Ensino Superior,RS,4,Administrativo,Analista Pleno
7E99,Masculino,36,Branco,Pos graduacao,AP,0,Marketing,Analista Junior
CC88,Masculino,49,Branco,Mestrado,RS,2,Operacoes,Analista Senior
02A9,Masculino,28,Pardo,Mestrado,RS,3,TI,Analista Junior
86B0,Masculino,40,Branco,Ensino Superior,GO,3,Administrativo,Analista Senior
1A18,Feminino,19,Pardo,Ensino Superior,MG,,Marketing,Analista Pleno
8EED,Masculino,22,Pardo,Pos graduacao,MG,7,Administrativo,Analista Pleno
DD7F,Masculino,18,Pardo,Ensino Superior,RJ,,Desenvolvimento de Produtos,Gerente
6093,Feminino,37,Preto,Ensino Superior,MG,4,Contabilidade,Analista Senior
A0F4,Feminino,35,Branco,Ensino Superior,MS,1,Contabilidade,Analista Pleno
97D8,Masculino,32,Branco,Ensino Superior,RJ,8,Marketing,Analista Pleno
499F,Masculino,32,Pardo,Ensino Medio,MG,1,Operacoes,Analista Senior
F001,Feminino,20,Pardo,Ensino Superior,CE,,Contabilidade,Analista Senior
21B0,Masculino,21,Pardo,Ensino Superior,RJ,,Operacoes,Gerente
9E30,Masculino,26,Pardo,Ensino Superior,PE,9,Desenvolvimento de Produtos,Analista Senior
ACEC,Masculino,39,Pardo,Ensino Superior,MG,6,Vendas,Analista Junior
D611,Masculino,56,Branco,Pos graduacao,AP,6,Vendas,Analista Pleno
B24A,Feminino,22,Branco,Mestrado,RR,5,Recursos Humanos,Analista Junior
739E,Masculino,28,Branco,Mestrado,RJ,7,Contabilidade,Gerente
0669,Feminino,35,Pardo,Mestrado,GO,7,Marketing,Analista Junior
4E49,Masculino,40,Branco,Ensino Superior,SP,3,TI,Analista Senior
3C77,Masculino,41,Branco,Ensino Superior,MS,0,Administrativo,Estagiario
963A,Masculino,35,Branco,Pos graduacao,RJ,11,Marketing,Analista Junior
3F90,Masculino,32,Preto,Pos graduacao,PB,10,TI,Gerente
FAF7,Masculino,24,Pardo,Ensino Superior,MG,8,Recursos Humanos,Analista Junior
0062,Masculino,19,Branco,Ensino Superior,DF,5,Administrativo,Analista Senior
B8C6,Masculino,21,Pardo,Ensino Superior,RS,,TI,Analista Junior
AC9A,Masculino,19,Pardo,Ensino Superior,PA,,Operacoes,Estagiario
13F0,Feminino,19,Pardo,Ensino Superior,PB,,Desenvolvimento de Produtos,Gerente
7578,Masculino,20,Branco,Mestrado,RS,1,Compras,Analista Senior
8923,Masculino,37,Pardo,Pos graduacao,RJ,2,TI,Gerente
DCD9,Masculino,28,Preto,Ensino Superior,BA,5,Operacoes,Analista Pleno
06E8,Masculino,41,Pardo,Ensino Superior,BA,3,Compras,Analista Junior
B798,Masculino,31,Pardo,Ensino Superior,ES,2,Vendas,Analista Junior
DE1E,Masculino,27,Pardo,Ensino Superior,BA,11,Contabilidade,Analista Senior
923D,Masculino,36,Branco,Ensino Superior,RN,3,Recursos Humanos,Analista Junior
9A45,Masculino,30,Preto,Ensino Superior,ES,7,Marketing,Analista Senior
C9F9,Masculino,27,Branco,Doutorado,SP,6,Marketing,Analista Senior
26D0,Masculino,30,Pardo,Ensino Superior,PR,9,Recursos Humanos,Analista Junior
7916,Feminino,19,Branco,Ensino Medio,RJ,2,Contabilidade,Analista Senior
80F2,Masculino,32,Pardo,Ensino Superior,SE,,Vendas,Analista Senior
84B0,Masculino,30,Pardo,Pos graduacao,RN,4,Compras,Analista Junior
0F83,Masculino,21,Branco,Ensino Superior,RO,6,Contabilidade,Analista Senior
C9EF,Feminino,24,Branco,Ensino Superior,SC,7,Administrativo,Analista Junior
E7CA,Masculino,31,Pardo,Ensino Superior,PE,9,Compras,Gerente
D9BE,Feminino,40,Preto,Ensino Superior,MA,9,TI,Gerente
0160,Masculino,39,Pardo,Ensino Superior,RJ,6,Administrativo,Gerente
EC46,Masculino,40,Branco,Ensino Superior,SP,5,Operacoes,Analista Junior
4CB2,Masculino,20,Branco,Ensino Superior,DF,2,Desenvolvimento de Produtos,Gerente
9C18,Masculino,47,Pardo,Ensino Superior,PR,5,Contabilidade,Analista Pleno
30B1,Masculino,30,Pardo,Mestrado,RO,5,Marketing,Gerente
E743,Masculino,35,Branco,Mestrado,RJ,8,Marketing,Analista Pleno
5F99,Masculino,18,Preto,Mestrado,RJ,3,Desenvolvimento de Produtos,Analista Senior
B894,Masculino,31,Pardo,Mestrado,PI,0,Desenvolvimento de Produtos,Analista Junior
6BAF,Feminino,26,Pardo,Ensino Superior,AM,9,TI,Analista Senior
F8B7,Masculino,30,Pardo,Ensino Superior,MA,1,TI,Analista Pleno
CCA4,Feminino,21,Pardo,Ensino Medio,RJ,,Compras,Analista Senior
A179,Feminino,40,Branco,Doutorado,SP,8,Compras,Analista Junior
78BB,Masculino,32,Pardo,Ensino Superior,RR,2,Compras,Analista Senior
EA6A,Feminino,42,Branco,Ensino Superior,RJ,7,Vendas,Analista Senior
C863,Masculino,43,Preto,Pos graduacao,RJ,,Compras,Gerente
828F,Masculino,30,Pardo,Pos graduacao,RS,3,Vendas,Analista Pleno
DF0C,Masculino,31,Pardo,Ensino Superior,SC,0,Contabilidade,Analista Pleno
A368,Masculino,27,Pardo,Mestrado,SP,6,Contabilidade,Analista Junior
13E3,Masculino,19,Pardo,Ensino Superior,SP,,Marketing,Analista Senior
B179,Masculino,31,Pardo,Mestrado,TO,4,Contabilidade,Gerente
489F,Masculino,34,Branco,Ensino Superior,MT,2,TI,Analista Junior
9ED9,Feminino,39,Branco,Ensino Superior,AM,7,Desenvolvimento de Produtos,Analista Pleno
3FE6,Masculino,32,Branco,Pos graduacao,BA,5,Recursos Humanos,Analista Pleno
EFB7,Masculino,36,Pardo,Doutorado,PI,7,Recursos Humanos,Diretor
941A,Masculino,27,Pardo,Doutorado,GO,,Contabilidade,Analista Junior
E38C,Masculino,44,Branco,Mestrado,SP,1,Recursos Humanos,Analista Senior
E00A,Masculino,21,Pardo,Ensino Superior,SP,1,TI,Analista Junior
4391,Feminino,39,Pardo,Ensino Superior,RN,9,Contabilidade,Analista Senior
A0ED,Feminino,33,Branco,Ensino Superior,RJ,7,Recursos Humanos,Analista Junior
3501,Masculino,43,Pardo,Ensino Superior,MG,5,Marketing,Analista Pleno
245D,Masculino,28,Branco,Ensino Superior,SC,5,TI,Analista Pleno
C436,Masculino,19,Branco,Ensino Superior,RS,5,Compras,Analista Pleno
60B5,Masculino,38,Pardo,Ensino Superior,GO,5,Administrativo,Analista Junior
74C9,Masculino,28,Branco,Ensino Superior,AC,3,Operacoes,Analista Junior
2FB2,Masculino,24,Branco,Ensino Superior,PI,5,Marketing,Gerente
5CF8,Feminino,26,Preto,Ensino Superior,AL,3,TI,Analista Pleno
ED0E,Feminino,21,Pardo,Mestrado,RN,,Compras,Analista Senior
690A,Masculino,26,Pardo,Ensino Superior,AP,0,Contabilidade,Estagiario
6F52,Masculino,42,Branco,Pos graduacao,GO,10,Desenvolvimento de Produtos,Analista Pleno
8F51,Masculino,29,Branco,Doutorado,CE,3,Compras,Gerente
D9E4,Feminino,35,Pardo,Mestrado,SP,4,Desenvolvimento de Produtos,Analista Pleno
5CBB,Masculino,25,Branco,Ensino Superior,PE,6,Marketing,Analista Junior
1FC7,Masculino,26,Branco,Pos graduacao,PR,6,Administrativo,Analista Pleno
7C13,Masculino,33,Branco,Ensino Superior,SP,8,TI,Analista Junior
2045,Feminino,24,Branco,Ensino Superior,MA,7,Recursos Humanos,Gerente
3C34,Masculino,32,Pardo,Pos graduacao,RN,7,Vendas,Analista Junior
8F6F,Masculino,27,Pardo,Ensino Medio,PR,8,Contabilidade,Analista Pleno
E9B4,Masculino,27,Branco,Doutorado,MG,5,Contabilidade,Analista Pleno
0AE7,Feminino,23,Branco,Doutorado,MT,8,Compras,Analista Pleno
8E9E,Masculino,35,Pardo,Pos graduacao,BA,4,Administrativo,Gerente
FE18,Feminino,43,Branco,Doutorado,RJ,9,Administrativo,Analista Senior
A20C,Masculino,32,Branco,Pos graduacao,MG,10,Contabilidade,Analista Pleno
8E48,Feminino,23,Preto,Ensino Superior,MA,6,Vendas,Analista Pleno
1CB7,Masculino,18,Preto,Ensino Medio,MG,2,Desenvolvimento de Produtos,Analista Pleno
3614,Masculino,43,Branco,Ensino Superior,PR,6,Recursos Humanos,Analista Senior
F977,Masculino,20,Branco,Ensino Superior,SE,4,Vendas,Analista Junior
3137,Masculino,27,Pardo,Ensino Superior,ES,10,Contabilidade,Analista Senior
CE0A,Masculino,23,Branco,Ensino Superior,SP,2,Administrativo,Analista Junior
2D50,Masculino,28,Branco,Doutorado,CE,0,Compras,Analista Junior
16AC,Masculino,45,Pardo,Pos graduacao,SP,5,Administrativo,Analista Senior
4B4A,Feminino,37,Branco,Ensino Medio,MT,4,Marketing,Analista Junior
27CF,Masculino,30,Branco,Ensino Superior,PR,6,Desenvolvimento de Produtos,Analista Junior
A495,Masculino,21,Pardo,Ensino Superior,AP,,Recursos Humanos,Analista Pleno
5290,Masculino,37,Pardo,Doutorado,RJ,2,Recursos Humanos,Analista Senior
0101,Masculino,33,Branco,Ensino Superior,RR,5,TI,Gerente
8EB7,Feminino,42,Indigena,Ensino Superior,SE,4,Recursos Humanos,Analista Pleno
6A5C,Masculino,41,Branco,Pos graduacao,AL,7,Contabilidade,Analista Pleno
B2B4,Masculino,20,Pardo,Pos graduacao,PR,6,Operacoes,Analista Junior
A1D2,Masculino,25,Branco,Ensino Superior,PB,,Administrativo,Analista Senior
60AE,Masculino,52,Branco,Pos graduacao,RJ,3,Desenvolvimento de Produtos,Analista Junior
79F7,Masculino,35,Pardo,Ensino Superior,RS,4,Marketing,Analista Pleno
FB12,Masculino,30,Branco,Ensino Superior,SC,1,Compras,Gerente
5D72,Masculino,53,Pardo,Ensino Superior,RS,12,Marketing,Gerente
17ED,Masculino,36,Pardo,Pos graduacao,RS,8,Marketing,Analista Junior
8229,Feminino,25,Branco,Ensino Superior,PA,8,Compras,Analista Pleno
9433,Masculino,39,Pardo,Ensino Superior,PB,10,Marketing,Gerente
1AFB,Masculino,34,Pardo,Pos graduacao,RS,4,TI,Analista Junior
EB51,Masculino,18,Pardo,Pos graduacao,MG,,Vendas,Estagiario
AA4D,Masculino,33,Preto,Ensino Superior,SP,6,TI,Analista Senior
5D9B,Masculino,29,Pardo,Ensino Superior,SE,3,Marketing,Analista Pleno
A73D,Masculino,23,Branco,Doutorado,RS,8,TI,Analista Pleno
3CBB,Masculino,21,Pardo,Ensino Superior,ES,5,Desenvolvimento de Produtos,Analista Pleno
7389,Masculino,20,Pardo,Ensino Superior,RJ,6,TI,Analista Pleno
F41F,Masculino,36,Pardo,Ensino Superior,BA,9,Marketing,Analista Junior
02C8,Feminino,33,Branco,Ensino Medio,RJ,9,Administrativo,Gerente
1092,Feminino,29,Pardo,Ensino Superior,SP,6,Recursos Humanos,Analista Senior
9C26,Masculino,21,Branco,Ensino Superior,MS,,Compras,Gerente
980C,Masculino,19,Pardo,Ensino Superior,RJ,,Contabilidade,Analista Senior
9295,Masculino,20,Branco,Pos graduacao,SC,5,Contabilidade,Analista Junior
D46E,Feminino,27,Pardo,Pos graduacao,GO,3,Administrativo,Analista Senior
C533,Masculino,26,Pardo,Ensino Medio,DF,10,Operacoes,Analista Pleno
B549,Masculino,20,Pardo,Pos graduacao,AM,3,Desenvolvimento de Produtos,Analista Pleno
B53A,Masculino,36,Branco,Ensino Superior,ES,8,Recursos Humanos,Analista Junior
471C,Masculino,27,Preto,Ensino Medio,RJ,11,Marketing,Analista Pleno
C68E,Feminino,35,Pardo,Mestrado,MS,11,Marketing,Analista Junior
2C3F,Masculino,47,Preto,Ensino Superior,RR,8,TI,Analista Senior
5977,Masculino,22,Branco,Ensino Superior,PA,2,Compras,Analista Pleno
E658,Masculino,50,Pardo,Pos graduacao,AM,8,Recursos Humanos,Analista Pleno
6A84,Masculino,28,Pardo,Ensino Superior,MG,8,Desenvolvimento de Produtos,Analista Pleno
4156,Feminino,25,Branco,Doutorado,PA,5,Marketing,Analista Pleno
7B88,Masculino,20,Pardo,Ensino Superior,SE,,Vendas,Analista Senior
2A57,Masculino,28,Branco,Ensino Superior,SE,5,Vendas,Analista Junior
C8AE,Feminino,34,Pardo,Ensino Superior,BA,7,Administrativo,Analista Pleno
3661,Masculino,26,Branco,Ensino Superior,RN,4,Administrativo,Analista Pleno
E670,Masculino,23,Preto,Pos graduacao,RR,4,Operacoes,Analista Pleno
8D98,Feminino,35,Pardo,Doutorado,RJ,6,Operacoes,Analista Pleno
3FE4,Masculino,26,Branco,Pos graduacao,SP,3,Marketing,Analista Junior
6A58,Masculino,22,Pardo,Ensino Superior,SE,4,Operacoes,Analista Senior
0317,Masculino,37,Pardo,Doutorado,SP,2,TI,Analista Pleno
EB18,Masculino,39,Pardo,Mestrado,RJ,6,Operacoes,Analista Junior
7A4C,Masculino,42,Pardo,Pos graduacao,AC,9,Vendas,Analista Senior
0BA6,Masculino,31,Pardo,Ensino Superior,MG,2,Operacoes,Analista Senior
F047,Feminino,23,Branco,Pos graduacao,RS,4,TI,Gerente
1D46,Feminino,32,Branco,Pos graduacao,GO,0,Compras,Analista Senior
1BE8,Masculino,35,Preto,Pos graduacao,GO,2,TI,Analista Senior
37A5,Feminino,37,Branco,Ensino Superior,RJ,2,TI,Analista Junior
9D73,Masculino,44,Branco,Ensino Superior,PR,7,Operacoes,Analista Junior
DE62,Masculino,21,Pardo,Pos graduacao,SE,3,Marketing,Analista Junior
4ADE,Masculino,21,Branco,Ensino Superior,RJ,5,Vendas,Analista Pleno
0697,Masculino,25,Branco,Ensino Medio,SC,5,Desenvolvimento de Produtos,Analista Pleno
B51B,Masculino,41,Branco,Ensino Superior,AL,8,TI,Analista Pleno
15A2,Masculino,50,Pardo,Ensino Superior,MT,5,Marketing,Gerente
8FE5,Masculino,43,Preto,Mestrado,MG,7,Compras,Gerente
D4B4,Masculino,34,Pardo,Ensino Medio,DF,7,TI,Analista Pleno
4A03,Masculino,24,Branco,Ensino Superior,PB,6,Desenvolvimento de Produtos,Analista Junior
4908,Masculino,27,Branco,Pos graduacao,MA,6,Administrativo,Analista Junior
2416,Masculino,24,Pardo,Ensino Superior,MG,8,Desenvolvimento de Produtos,Analista Junior
2529,Masculino,32,Branco,Ensino Superior,MG,4,Recursos Humanos,Analista Junior
8FA7,Masculino,52,Branco,Ensino Superior,SC,11,TI,Analista Senior
170F,Masculino,22,Branco,Ensino Superior,MA,5,Operacoes,Analista Pleno
A3CC,Feminino,31,Branco,Ensino Superior,AM,6,Compras,Analista Pleno
4862,Masculino,22,Pardo,Pos graduacao,PA,,Desenvolvimento de Produtos,Analista Junior
2503,Masculino,45,Preto,Ensino Superior,AM,8,Desenvolvimento de Produtos,Gerente
C959,Masculino,26,Pardo,Ensino Superior,PR,9,Contabilidade,Analista Senior
0A0D,Masculino,19,Indigena,Ensino Superior,SP,,Administrativo,Estagiario
E258,Masculino,30,Branco,Doutorado,RN,3,Administrativo,Analista Junior
F2D2,Feminino,39,Branco,Ensino Superior,RN,4,Administrativo,Analista Pleno
CE53,Feminino,28,Pardo,Ensino Superior,SE,4,Compras,Analista Junior
C264,Masculino,21,Pardo,Ensino Superior,TO,7,Marketing,Analista Pleno
D5E6,Masculino,29,Pardo,Ensino Medio,RJ,3,Contabilidade,Analista Senior
25B0,Feminino,34,Branco,Ensino Superior,RS,4,Contabilidade,Analista Senior
002D,Masculino,34,Branco,Ensino Superior,RJ,7,Compras,Analista Junior
9B8E,Masculino,33,Pardo,Ensino Superior,MT,4,Recursos Humanos,Analista Junior
929F,Masculino,37,Preto,Pos graduacao,TO,3,TI,Analista Senior
8C18,Feminino,29,Pardo,Ensino Superior,SC,8,Recursos Humanos,Analista Senior
4030,Masculino,22,Pardo,Mestrado,PB,1,Administrativo,Gerente
2C89,Masculino,27,Branco,Ensino Superior,MG,1,Desenvolvimento de Produtos,Gerente
42C2,Masculino,21,Branco,Ensino Medio,MT,3,TI,Analista Senior
1092,Masculino,34,Pardo,Ensino Superior,PB,4,Administrativo,Gerente
5FED,Masculino,53,Pardo,Ensino Superior,RS,10,Compras,Analista Pleno
408C,Masculino,27,Pardo,Ensino Superior,PR,2,Recursos Humanos,Analista Senior
9504,Masculino,35,Pardo,Ensino Superior,PR,4,Compras,Analista Senior
F748,Masculino,30,Branco,Ensino Superior,SC,11,Compras,Analista Pleno
23FE,Masculino,19,Branco,Ensino Superior,CE,,TI,Analista Pleno
B502,Masculino,51,Branco,Pos graduacao,RJ,9,TI,Analista Pleno
F3B7,Masculino,22,Pardo,Ensino Superior,RS,,Administrativo,Analista Pleno
A2B5,Masculino,24,Preto,Ensino Superior,SP,,TI,Analista Senior
90E1,Feminino,36,Branco,Ensino Superior,MS,7,Compras,Analista Junior
FD54,Feminino,40,Pardo,Ensino Superior,AL,6,Administrativo,Analista Senior
BE67,Masculino,40,Branco,Pos graduacao,AM,6,TI,Analista Pleno
3F4C,Masculino,31,Pardo,Ensino Superior,MT,8,Marketing,Analista Senior
B916,Masculino,29,Branco,Pos graduacao,MG,6,Contabilidade,Analista Senior
B223,Masculino,26,Pardo,Ensino Superior,SE,11,TI,Analista Senior
7426,Feminino,23,Pardo,Pos graduacao,PE,4,Operacoes,Analista Pleno
C296,Masculino,25,Branco,Ensino Superior,MS,0,Contabilidade,Analista Pleno
BC15,Masculino,30,Branco,Ensino Superior,RO,2,Vendas,Gerente
101D,Masculino,41,Branco,Pos graduacao,CE,13,Compras,Analista Pleno
