,ID,genero,idade,etnia,formacao,estado,tempo_de_casa,departamento,senioridade
140,6093,Feminino,37,Preto,Ensino Superior,MG,4,Contabilidade,Analista Senior
141,A0F4,Feminino,35,Branco,Ensino Superior,MS,1,Contabilidade,Analista Pleno
142,97D8,Masculino,32,Branco,Ensino Superior,RJ,8,Marketing,Analista Pleno
143,499F,Masculino,32,Pardo,Ensino Medio,MG,1,Operacoes,Analista Senior
144,F001,Feminino,20,Pardo,Ensino Superior,CE,,Contabilidade,Analista Senior
145,21B0,Masculino,21,Pardo,Ensino Superior,RJ,,Operacoes,Gerente
146,9E30,Masculino,26,Pardo,Ensino Superior,PE,9,Desenvolvimento de Produtos,Analista Senior
147,ACEC,Masculino,39,Pardo,Ensino Superior,MG,6,Vendas,Analista Junior
148,D611,Masculino,56,Branco,Pos graduacao,AP,6,Vendas,Analista Pleno
149,B24A,Feminino,22,Branco,Mestrado,RR,5,Recursos Humanos,Analista Junior
150,EBE3,Masculino,31,Branco,Mestrado,MG,5,Desenvolvimento de Produtos,Estagiario
151,739E,Masculino,28,Branco,Mestrado,RJ,7,Contabilidade,Gerente
152,0669,Feminino,35,Pardo,Mestrado,GO,7,Marketing,Analista Junior
153,4E49,Masculino,40,Branco,Ensino Superior,SP,3,TI,Analista Senior
154,3C77,Masculino,41,Branco,Ensino Superior,MS,0,Administrativo,Estagiario
155,963A,Masculino,35,Branco,Pos graduacao,RJ,11,Marketing,Analista Junior
156,3F90,Masculino,32,Preto,Pos graduacao,PB,10,TI,Gerente
157,FAF7,Masculino,24,Pardo,Ensino Superior,MG,8,Recursos Humanos,Analista Junior
158,0062,Masculino,19,Branco,Ensino Superior,DF,5,Administrativo,Analista Senior
159,B8C6,Masculino,21,Pardo,Ensino Superior,RS,,TI,Analista Junior
160,AC9A,Masculino,19,Pardo,Ensino Superior,PA,,Operacoes,Estagiario
161,13F0,Feminino,19,Pardo,Ensino Superior,PB,,Desenvolvimento de Produtos,Gerente
162,7578,Masculino,20,Branco,Mestrado,RS,1,Compras,Analista Senior
163,8923,Masculino,37,Pardo,Pos graduacao,RJ,2,TI,Gerente
164,DCD9,Masculino,28,Preto,Ensino Superior,BA,5,Operacoes,Analista Pleno
165,06E8,Masculino,41,Pardo,Ensino Superior,BA,3,Compras,Analista Junior
166,B798,Masculino,31,Pardo,Ensino Superior,ES,2,Vendas,Analista Junior
167,DE1E,Masculino,27,Pardo,Ensino Superior,BA,11,Contabilidade,Analista Senior
168,923D,Masculino,36,Branco,Ensino Superior,RN,3,Recursos Humanos,Analista Junior
169,9A45,Masculino,30,Preto,Ensino Superior,ES,7,Marketing,Analista Senior
170,C9F9,Masculino,27,Branco,Doutorado,SP,6,Marketing,Analista Senior
171,26D0,Masculino,30,Pardo,Ensino Superior,PR,9,Recursos Humanos,Analista Junior
172,7916,Feminino,19,Branco,Ensino Medio,RJ,2,Contabilidade,Analista Senior
173,80F2,Masculino,32,Pardo,Ensino Superior,SE,,Vendas,Analista Senior
174,84B0,Masculino,30,Pardo,Pos graduacao,RN,4,Compras,Analista Junior
175,0F83,Masculino,21,Branco,Ensino Superior,RO,6,Contabilidade,Analista Senior
176,C9EF,Feminino,24,Branco,Ensino Superior,SC,7,Administrativo,Analista Junior
177,E7CA,Masculino,31,Pardo,Ensino Superior,PE,9,Compras,Gerente
178,D9BE,Feminino,40,Preto,Ensino Superior,MA,9,TI,Gerente
179,0160,Masculino,39,Pardo,Ensino Superior,RJ,6,Administrativo,Gerente
180,EC46,Masculino,40,Branco,Ensino Superior,SP,5,Operacoes,Analista Junior
181,4CB2,Masculino,20,Branco,Ensino Superior,DF,2,Desenvolvimento de Produtos,Gerente
182,9C18,Masculino,47,Pardo,Ensino Superior,PR,5,Contabilidade,Analista Pleno
183,30B1,Masculino,30,Pardo,Mestrado,RO,5,Marketing,Gerente
184,E743,Masculino,35,Branco,Mestrado,RJ,8,Marketing,Analista Pleno
185,5F99,Masculino,18,Preto,Mestrado,RJ,3,Desenvolvimento de Produtos,Analista Senior
186,B894,Masculino,31,Pardo,Mestrado,PI,0,Desenvolvimento de Produtos,Analista Junior
187,6BAF,Feminino,26,Pardo,Ensino Superior,AM,9,TI,Analista Senior
188,F8B7,Masculino,30,Pardo,Ensino Superior,MA,1,TI,Analista Pleno
189,CCA4,Feminino,21,Pardo,Ensino Medio,RJ,,Compras,Analista Senior
190,A179,Feminino,40,Branco,Doutorado,SP,8,Compras,Analista Junior
191,78BB,Masculino,32,Pardo,Ensino Superior,RR,2,Compras,Analista Senior
192,EA6A,Feminino,42,Branco,Ensino Superior,RJ,7,Vendas,Analista Senior
193,C863,Masculino,43,Preto,Pos graduacao,RJ,,Compras,Gerente
194,828F,Masculino,30,Pardo,Pos graduacao,RS,3,Vendas,Analista Pleno
195,DF0C,Masculino,31,Pardo,Ensino Superior,SC,0,Contabilidade,Analista Pleno
196,A368,Masculino,27,Pardo,Mestrado,SP,6,Contabilidade,Analista Junior
197,13E3,Masculino,19,Pardo,Ensino Superior,SP,,Marketing,Analista Senior
198,B179,Masculino,31,Pardo,Mestrado,TO,4,Contabilidade,Gerente
199,489F,Masculino,34,Branco,Ensino Superior,MT,2,TI,Analista Junior
200,9ED9,Feminino,39,Branco,Ensino Superior,AM,7,Desenvolvimento de Produtos,Analista Pleno
201,3FE6,Masculino,32,Branco,Pos graduacao,BA,5,Recursos Humanos,Analista Pleno
202,EFB7,Masculino,36,Pardo,Doutorado,PI,7,Recursos Humanos,Diretor
203,941A,Masculino,27,Pardo,Doutorado,GO,,Contabilidade,Analista Junior
204,E38C,Masculino,44,Branco,Mestrado,SP,1,Recursos Humanos,Analista Senior
205,E00A,Masculino,21,Pardo,Ensino Superior,SP,1,TI,Analista Junior
206,4391,Feminino,39,Pardo,Ensino Superior,RN,9,Contabilidade,Analista Senior
207,A0ED,Feminino,33,Branco,Ensino Superior,RJ,7,Recursos Humanos,Analista Junior
208,3501,Masculino,43,Pardo,Ensino Superior,MG,5,Marketing,Analista Pleno
209,245D,Masculino,28,Branco,Ensino Superior,SC,5,TI,Analista Pleno
210,C436,Masculino,19,Branco,Ensino Superior,RS,5,Compras,Analista Pleno
211,60B5,Masculino,38,Pardo,Ensino Superior,GO,5,Administrativo,Analista Junior
212,74C9,Masculino,28,Branco,Ensino Superior,AC,3,Operacoes,Analista Junior
213,2FB2,Masculino,24,Branco,Ensino Superior,PI,5,Marketing,Gerente
214,5CF8,Feminino,26,Preto,Ensino Superior,AL,3,TI,Analista Pleno
215,ED0E,Feminino,21,Pardo,Mestrado,RN,,Compras,Analista Senior
216,690A,Masculino,26,Pardo,Ensino Superior,AP,0,Contabilidade,Estagiario
217,6F52,Masculino,42,Branco,Pos graduacao,GO,10,Desenvolvimento de Produtos,Analista Pleno
218,8F51,Masculino,29,Branco,Doutorado,CE,3,Compras,Gerente
219,D9E4,Feminino,35,Pardo,Mestrado,SP,4,Desenvolvimento de Produtos,Analista Pleno
220,5CBB,Masculino,25,Branco,Ensino Superior,PE,6,Marketing,Analista Junior
221,1FC7,Masculino,26,Branco,Pos graduacao,PR,6,Administrativo,Analista Pleno
222,7C13,Masculino,33,Branco,Ensino Superior,SP,8,TI,Analista Junior
223,2045,Feminino,24,Branco,Ensino Superior,MA,7,Recursos Humanos,Gerente
224,3C34,Masculino,32,Pardo,Pos graduacao,RN,7,Vendas,Analista Junior
225,8F6F,Masculino,27,Pardo,Ensino Medio,PR,8,Contabilidade,Analista Pleno
226,E9B4,Masculino,27,Branco,Doutorado,MG,5,Contabilidade,Analista Pleno
227,0AE7,Feminino,23,Branco,Doutorado,MT,8,Compras,Analista Pleno
228,8E9E,Masculino,35,Pardo,Pos graduacao,BA,4,Administrativo,Gerente
229,FE18,Feminino,43,Branco,Doutorado,RJ,9,Administrativo,Analista Senior
230,A20C,Masculino,32,Branco,Pos graduacao,MG,10,Contabilidade,Analista Pleno
231,8E48,Feminino,23,Preto,Ensino Superior,MA,6,Vendas,Analista Pleno
232,1CB7,Masculino,18,Preto,Ensino Medio,MG,2,Desenvolvimento de Produtos,Analista Pleno
233,3614,Masculino,43,Branco,Ensino Superior,PR,6,Recursos Humanos,Analista Senior
234,F977,Masculino,20,Branco,Ensino Superior,SE,4,Vendas,Analista Junior
235,3137,Masculino,27,Pardo,Ensino Superior,ES,10,Contabilidade,Analista Senior
236,CE0A,Masculino,23,Branco,Ensino Superior,SP,2,Administrativo,Analista Junior
237,2D50,Masculino,28,Branco,Doutorado,CE,0,Compras,Analista Junior
238,16AC,Masculino,45,Pardo,Pos graduacao,SP,5,Administrativo,Analista Senior
239,4B4A,Feminino,37,Branco,Ensino Medio,MT,4,Marketing,Analista Junior
240,27CF,Masculino,30,Branco,Ensino Superior,PR,6,Desenvolvimento de Produtos,Analista Junior
241,A495,Masculino,21,Pardo,Ensino Superior,AP,,Recursos Humanos,Analista Pleno
242,5290,Masculino,37,Pardo,Doutorado,RJ,2,Recursos Humanos,Analista Senior
243,0101,Masculino,33,Branco,Ensino Superior,RR,5,TI,Gerente
244,8EB7,Feminino,42,Indigena,Ensino Superior,SE,4,Recursos Humanos,Analista Pleno
245,6A5C,Masculino,41,Branco,Pos graduacao,AL,7,Contabilidade,Analista Pleno
246,B2B4,Masculino,20,Pardo,Pos graduacao,PR,6,Operacoes,Analista Junior
247,A1D2,Masculino,25,Branco,Ensino Superior,PB,,Administrativo,Analista Senior
248,60AE,Masculino,52,Branco,Pos graduacao,RJ,3,Desenvolvimento de Produtos,Analista Junior
249,79F7,Masculino,35,Pardo,Ensino Superior,RS,4,Marketing,Analista Pleno
250,FB12,Masculino,30,Branco,Ensino Superior,SC,1,Compras,Gerente
251,5D72,Masculino,53,Pardo,Ensino Superior,RS,12,Marketing,Gerente
252,17ED,Masculino,36,Pardo,Pos graduacao,RS,8,Marketing,Analista Junior
253,8229,Feminino,25,Branco,Ensino Superior,PA,8,Compras,Analista Pleno
254,9433,Masculino,39,Pardo,Ensino Superior,PB,10,Marketing,Gerente
255,1AFB,Masculino,34,Pardo,Pos graduacao,RS,4,TI,Analista Junior
256,EB51,Masculino,18,Pardo,Pos graduacao,MG,,Vendas,Estagiario
257,AA4D,Masculino,33,Preto,Ensino Superior,SP,6,TI,Analista Senior
258,5D9B,Masculino,29,Pardo,Ensino Superior,SE,3,Marketing,Analista Pleno
259,A73D,Masculino,23,Branco,Doutorado,RS,8,TI,Analista Pleno
260,3CBB,Masculino,21,Pardo,Ensino Superior,ES,5,Desenvolvimento de Produtos,Analista Pleno
261,7389,Masculino,20,Pardo,Ensino Superior,RJ,6,TI,Analista Pleno
262,F41F,Masculino,36,Pardo,Ensino Superior,BA,9,Marketing,Analista Junior
263,02C8,Feminino,33,Branco,Ensino Medio,RJ,9,Administrativo,Gerente
264,1092,Feminino,29,Pardo,Ensino Superior,SP,6,Recursos Humanos,Analista Senior
265,9C26,Masculino,21,Branco,Ensino Superior,MS,,Compras,Gerente
266,980C,Masculino,19,Pardo,Ensino Superior,RJ,,Contabilidade,Analista Senior
267,9295,Masculino,20,Branco,Pos graduacao,SC,5,Contabilidade,Analista Junior
268,D46E,Feminino,27,Pardo,Pos graduacao,GO,3,Administrativo,Analista Senior
269,C533,Masculino,26,Pardo,Ensino Medio,DF,10,Operacoes,Analista Pleno
270,7942,Feminino,21,Branco,Doutorado,RN,6,Operacoes,Estagiario
271,B549,Masculino,20,Pardo,Pos graduacao,AM,3,Desenvolvimento de Produtos,Analista Pleno
272,B53A,Masculino,36,Branco,Ensino Superior,ES,8,Recursos Humanos,Analista Junior
273,471C,Masculino,27,Preto,Ensino Medio,RJ,11,Marketing,Analista Pleno
274,C68E,Feminino,35,Pardo,Mestrado,MS,11,Marketing,Analista Junior
275,2C3F,Masculino,47,Preto,Ensino Superior,RR,8,TI,Analista Senior
276,5977,Masculino,22,Branco,Ensino Superior,PA,2,Compras,Analista Pleno
277,E658,Masculino,50,Pardo,Pos graduacao,AM,8,Recursos Humanos,Analista Pleno
278,6A84,Masculino,28,Pardo,Ensino Superior,MG,8,Desenvolvimento de Produtos,Analista Pleno
279,4156,Feminino,25,Branco,Doutorado,PA,5,Marketing,Analista Pleno
280,7B88,Masculino,20,Pardo,Ensino Superior,SE,,Vendas,Analista Senior
281,2A57,Masculino,28,Branco,Ensino Superior,SE,5,Vendas,Analista Junior
282,C8AE,Feminino,34,Pardo,Ensino Superior,BA,7,Administrativo,Analista Pleno
283,3661,Masculino,26,Branco,Ensino Superior,RN,4,Administrativo,Analista Pleno
284,E670,Masculino,23,Preto,Pos graduacao,RR,4,Operacoes,Analista Pleno
285,8D98,Feminino,35,Pardo,Doutorado,RJ,6,Operacoes,Analista Pleno
286,3FE4,Masculino,26,Branco,Pos graduacao,SP,3,Marketing,Analista Junior
287,6A58,Masculino,22,Pardo,Ensino Superior,SE,4,Operacoes,Analista Senior
288,0317,Masculino,37,Pardo,Doutorado,SP,2,TI,Analista Pleno
289,8290,Feminino,37,Branco,Ensino Superior,MA,6,Recursos Humanos,Estagiario
290,EB18,Masculino,39,Pardo,Mestrado,RJ,6,Operacoes,Analista Junior
291,7A4C,Masculino,42,Pardo,Pos graduacao,AC,9,Vendas,Analista Senior
292,0BA6,Masculino,31,Pardo,Ensino Superior,MG,2,Operacoes,Analista Senior
293,F047,Feminino,23,Branco,Pos graduacao,RS,4,TI,Gerente
294,1D46,Feminino,32,Branco,Pos graduacao,GO,0,Compras,Analista Senior
295,1BE8,Masculino,35,Preto,Pos graduacao,GO,2,TI,Analista Senior
296,37A5,Feminino,37,Branco,Ensino Superior,RJ,2,TI,Analista Junior
297,9D73,Masculino,44,Branco,Ensino Superior,PR,7,Operacoes,Analista Junior
298,DE62,Masculino,21,Pardo,Pos graduacao,SE,3,Marketing,Analista Junior
299,9D64,Masculino,31,Preto,Mestrado,PB,5,Recursos Humanos,Estagiario
300,1D00,Masculino,28,Pardo,Pos graduacao,RJ,9,Vendas,Estagiario
301,4ADE,Masculino,21,Branco,Ensino Superior,RJ,5,Vendas,Analista Pleno
302,0697,Masculino,25,Branco,Ensino Medio,SC,5,Desenvolvimento de Produtos,Analista Pleno
303,B51B,Masculino,41,Branco,Ensino Superior,AL,8,TI,Analista Pleno
304,15A2,Masculino,50,Pardo,Ensino Superior,MT,5,Marketing,Gerente
305,8FE5,Masculino,43,Preto,Mestrado,MG,7,Compras,Gerente
306,D4B4,Masculino,34,Pardo,Ensino Medio,DF,7,TI,Analista Pleno
307,4A03,Masculino,24,Branco,Ensino Superior,PB,6,Desenvolvimento de Produtos,Analista Junior
308,4908,Masculino,27,Branco,Pos graduacao,MA,6,Administrativo,Analista Junior
309,2416,Masculino,24,Pardo,Ensino Superior,MG,8,Desenvolvimento de Produtos,Analista Junior
310,2529,Masculino,32,Branco,Ensino Superior,MG,4,Recursos Humanos,Analista Junior
311,8FA7,Masculino,52,Branco,Ensino Superior,SC,11,TI,Analista Senior
312,170F,Masculino,22,Branco,Ensino Superior,MA,5,Operacoes,Analista Pleno
313,A3CC,Feminino,31,Branco,Ensino Superior,AM,6,Compras,Analista Pleno
314,4862,Masculino,22,Pardo,Pos graduacao,PA,,Desenvolvimento de Produtos,Analista Junior
315,2503,Masculino,45,Preto,Ensino Superior,AM,8,Desenvolvimento de Produtos,Gerente
316,C959,Masculino,26,Pardo,Ensino Superior,PR,9,Contabilidade,Analista Senior
317,0A0D,Masculino,19,Indigena,Ensino Superior,SP,,Administrativo,Estagiario
318,E258,Masculino,30,Branco,Doutorado,RN,3,Administrativo,Analista Junior
319,F2D2,Feminino,39,Branco,Ensino Superior,RN,4,Administrativo,Analista Pleno
320,CE53,Feminino,28,Pardo,Ensino Superior,SE,4,Compras,Analista Junior
